Product Name(PN),  Search Result by PN  ,Company Name(CN),Search Result by CN,Designer (D),Search Result by D,Search Result by PN+CN,Search Result by PN only in HK,Search Result by PN only in China,Search Result by PN only in Amazon.com
superscreen,"232,000",Transcendent Designs,"2,660",Brent Morgan,"221,000","264,000",548,"57,200",694
pip system corebook family style rpgs from third e,138,Eloy Lasanta,"29,600",Eloy Lasanta,"29,400","29,000",1,86,6
magpie goose bold fashion from the top end,340,Maggie McGowan,"26,900",Maggie Ellen Shepheard Mcgowan,"440,000","26,800",2,"17,200",3
the powerverse is here,406,Vince White,"71,700",Vince White,"106,000","107,000",2,968,26
grimslingers the northern territory,"10,800",Greenbrier Games INC,"49,600",Jeff Gracia,"4,040","62,700",28,5,1
lycan comic 1,40,Stephen Krebs (deleted),62,Stephen Krebs,"6,330",101,"3,190","850,000","2,360"
marbles mag the indie mental health magazine,32,Kirstyn Smith,"10,900",Kirstyn Nicola Smith,"198,000","10,800","7,390","773,000",47
murder most foul game and hot sauce,76,Sixpence Games,"210,000",Thomas Eliot,"58,200","205,000",1,"53,100",33
worth watching,"2,850,000",Tyler Smith,"498,000",Tyler Smith,"483,000","10,000,000","29,600","4,260,000","1,040,000"
aeons end war eternal,"12,700",Travis,"174,000,000",Travis Worthington,"17,700","174,000,000",202,"463,000",418
dinosaur island 1,"8,120",Pandasaurus Games,"109,000",Nathan McNair,"2,260","113,000",43,"3,060,000","16,000"
solstice drafting and deception for 2 4,195,Grant Rodiek (Hyperbole Games),"2,440",Grant Wesley Rodiek,10,"2,390",3,"97,300",6
glyph 1,"73,700",Kazoodoo Games,"4,250",Justin Rick Potter,66,"82,000",55,"304,000","12,500"
monikers the shut up and sit down nonsense box,438,Alex Hague,"14,200",Alexander Hague,"2,960","5,400",2,"36,100",61
bring anxiety fox to life,129,Naomi Romero,"76,300",Naomi Romero,"76,000","75,500",1,"671,000","55,000"
empires of the void ii,"19,300",Ryan Laukat,"124,000",Ryan Laukat,"123,000","140,000",124,"218,000",126
divinity derby a racing and betting game of mythic,738,Ares Games,"393,000",James Dudley Jr Long,2,"382,000",78,"156,000",22
dates an anthology of queer historical fiction vol,"1,140",Margins Publishing,"1,160",Zora Gilbert,"1,940","1,160","303,000","217,000","34,600"
baseball highlights 2045 spring training,"2,640",Eagle Games,"293,000",Frederick Soued,424,"291,000",95,"173,000",6
no pun included a board game review series,350,No Pun Inc.,443,Elaine Christine Bladukiene,6,886,4,"192,000","4,740"
divercity,"1,730,000",Maxime Tardif,"46,300",Maxime Tardif,"46,100","1,770,000","17,700","73,000",112
bram stokers dracula concertina book,162,Lyndon White,"53,400",Lyndon Mark White,5,"53,500",6,6,7
if you give a geek a phaser childrens book,116,Deadpool Speaks,"41,000",Karim Fernandez,"27,600","39,900","2,620","87,400",332
bounty hunter beauty 1,6,Julian Velasquez,"21,900",Julian Velasquez,"74,500","73,600","99,600","293,000","13,100"
guard duty point and click through time and space,62,Nathan Hamley,838,Nathan Gordon Hamley,"588,000",880,1,"246,000","6,250"
the chronicles of tampon man volume 1 the red sea,411,Ken,"443,000,000",Kenneth Hewski,30,"446,000,000","1,440","114,000",4
small town inertia,"16,000",Colin Wilkinson (Bluecoat Press),696,Colin Wilkinson,"128,000","17,600",24,"228,000","1,290"
heartbound,"69,100",Pirate Software,"162,000",Jason Hall,"407,000","259,000",52,"64,000",218
she found fossils a kids book about women in paleo,110,M. Eugenia L. Gold,826,Maria Eugenia Leone Gold,649,837,"9,640","120,000",569
commodore the inside story,"15,600",David John Pleasance,"1,780",David John Pleasance,"1,780","14,200",1,"112,000","2,510"
tarot compendium,"9,870",LO SCARABEO,"464,000",Mario Pignatiello,"1,430","465,000",8,"112,000",437
headphones,"96,300,000",Mindset,"87,500,000",sandeep mirchandani,"1,200","265,000,000","1,620,000","2,170,000","93,800,000"
worlds softest sustainable underwear and loungewea,2,Element Pure,"200,000",Michael Chen,"401,000","198,000",1,"71,800",22
character design quarterly,"30,600",3dtotal Publishing,"80,600",Tom Greenway,"77,700","90,800",40,"1,370,000","7,720"
nowadays help us build our indoor home,"3,130",Mister Saturday Night,"96,400",Justin Carter,"238,000","611,000",1,"584,000",349
luxortm mini auto focusing pocket flashlight,803,PLX Devices,"127,000",Paul Lowchareonkul,708,"125,000",1,10,0
strawberry ninja,"62,200",Strawberry Studio,"93,800",Rainer Ahlfors,"1,690","501,000",38,"193,000","9,360"
bullet 02 worlds smallest flashlight even smaller,183,SLUGHAUS,"95,900",Jose Alfredo Chavez,"48,400","93,600",1,"1,940,000","1,490"
clementines bake shop is moving to a storefront,6,Lindsey & Drew,"125,000,000",Andrew Elliott,"146,000",5,1,"62,000",31
accidental aliens anthology 2017,100,Scott Lost,"91,000",Scott Epperson,"60,500","101,000","16,000","237,000",450
sustainable protein bars and powders made with cri,168,Coast Protein,"12,700",Chris  Baird,"139,000","13,000",2,"340,000",121
boys dont fly a childrens picture book for young r,5,Cassie Ehrenberg,483,Cassie Ehrenberg,"1,290",458,1,"6,150,000","146,000"
edgemere farm in rockaway beach needs your help,60,Edgemere Farm,"35,900",Matthew Blance Stephany,143,"35,900",2,"122,000",0
wild adventure cookbook,"7,210",Sarah Glover,"302,000",sarah glover,"299,000","76,200",5,"203,000","6,370"
rice paper scissors from pop up to restaurant,9,Rice Paper Scissors,"173,000",Valerie Luu,"13,400","169,000",1,"72,000",48
cooking with dice classic rpg with a delicious twi,116,Jennifer Howlett,"30,400",Jennifer Howlett,"30,400","30,100",1,"3,280",5
sugar hill creamery,"16,100",Nicholas Larsen & Petrushka Bazin Larsen,"13,400,000",Petrushka Bazin Larsen,849,577,96,"186,000",141
dare to eat natural healthy snacks powered by inse,10,Dare to Eat,"807,000",Jessica Rose Moore Buhl Nielsen,56,"579,000",1,414,0
sankofa farms agricultural academy a van for hope,114,Kamal Bell,"1,100",Kamal Bell,"1,110","2,960",51,648,1
willbros salmon co spreading wild alaskan salmon l,75,Willbros Salmon Co,900,Marcus Williams,"431,000",840,1,10,0
the sisterhood of blood vol i,101,Kirk Slater,"18,200",Kirk John Slater,2,"18,800","3,840","164,000",371
halfsies dice world tour,365,John Wrot!,"4,670",John David Wrotniewski,8,"4,790",2,"2,230",43
jonathin quackup issues 1 and 2,9,Raymond Mullikin,"13,800",Raymond Mullikin,"2,390","2,410",0,6,26
longmire the cinematic picture book,"1,820",Cinematic Pictures Group,"29,900",Denis Ilic,"3,730","30,300",2,"50,100",76
iconiq qore the stackable insulated food container,263,Iconiq,"639,000",Xiao Shuai Zou,197,"637,000",7,169,102
drexler issue 1,246,Nathan Kelly,"101,000",Nathan Kelly,"101,000","101,000","11,000","171,000","18,100"
hexplore it the valley of the dead king,"14,700",Jonathan Mariucci,"1,640",Jonathan Mariucci,"1,650","19,700",26,"8,090",1
the lemonade stand cookbook kid tested kid empower,9,Kathy Strahs,"148,000",Kathryn Lipscomb Strahs,54,"146,000",1,"283,000",36
ecoqube frame best vertical garden,"1,930",Aqua Design Innovations,"212,000",Kevin Liang,"151,000","209,000",1,"23,700",8
faulty apprentice interactive visual novel,275,Dinmoney,"166,000",Geoff Trebs,"144,000","165,000",5,"590,000",4
herbert grow fresh organic food at home,"5,480",Ponix Systems,"12,100",Alexander Penzias,733,"4,200",9,"278,000",263
hobo coins,"103,000",Chris Ovdiyenko,"119,000",Chris Ovdiyenko,"119,000","242,000",155,"863,000","43,700"
romantic comedy visual novel kachuna,301,Tamaya Kagiya,"3,250",Randolph Caldwell,"3,200","8,520",442,"28,300",43
gone sci fi mystery comic 1 digital reboot 1 week,119,Simon Birks,"19,900",Simon Daniel Birks,"2,600","19,700","90,600","271,000",486
the legend of everett forge issue 2,231,Scott Wilke,"22,400",Scott Wilke,"9,760","22,500",1,"332,000",109
transdimensional 1 a sci fi horror tale,113,Michael Gordon,"503,000",Michael George Gordon,"6,950","504,000",71,"33,000",201
shamans destiny vol 1 trade,64,Kyrun Silva,"1,580",Kyrun Silva,"1,570","4,860",1,"142,000",144
alaska bug bites llc farmers markets launch,81,Ben Masters,"381,000",Benjamin Masters,"5,870","389,000",1,8,92
immanuel god with us the comic book,271,Scott Zambelli,"56,700",Scott Zambelli,"56,900","57,100","93,400","277,000","5,390"
house of wicked creatures an indie comic,98,Vera Greentea,"4,370",Vera Greentea,"22,600","4,430","276,000","603,000","5,320"
the supershow the takeover unpredictable wrestling,245,Steve Resk,865,Steve Resk,861,850,1,"8,670",14
spinpal dp double pendulum desktop physics toy,221,Spinpal,"3,500",Rian Suiter,207,"12,700",1,"38,000",1
long live the queen,"1,340,000",LudiCreations,"86,700",Iraklis Constadinos Grous,2,"405,000","5,020","4,580,000","173,000"
american protest a broadside portfolio,115,Thornwillow,"70,100",Luke Pontifell,"1,420","68,300",3,9,1
space captain issue 4,51,Chris Baldie,"2,040",Christopher David Baldie,69,"2,080","182,000","2,020,000","77,300"
jail bait and trailer trash a mature comic book gr,122,Justin Gray,"335,000",Justin Gray,"333,000","327,000",1,"213,000",63
elder dice lovecraftian themed dice for all tablet,200,David LaRocca,"114,000",David LaRocca,"113,000","111,000",10,"33,200",45
the human beings issue one,164,Stuart John McCune,"1,440",Stuart John Mccune,"1,430","1,460","3,330,000","4,190,000","5,600,000"
mapforge battlemap creation software for tabletop,"4,240","Battlegrounds Games, LLC","6,080",Andrew Byerly,"9,780","1,320",3,165,0
brethren born3 deceptions,82,Jon Laight,"1,740",Jon William Laight,1,"1,760",55,250,2
hyve touch synth make the future of musical expres,172,Skot Wiedmann,"3,690",Skot Wiedmann,"3,640","3,690",2,"39,100",4
aviary wine and kitchen,269,Aviary,"11,100,000",John Coronado,"22,600","11,800,000","8,870","198,000","1,960"
husband and husband volume 1,230,Husband & Husband,"873,000,000",Henry Aaron Ferrara,"395,000","3,520","607,000","894,000","143,000"
the pirate republic 0,955,Tom Butler,"400,000",Thomas Butler,"343,000","401,000",3,"4,630,000","5,790"
identity notes,"33,100",Thornwillow,"70,100",Luke Pontifell,"1,420","111,000",186,"58,200,000","119,000"
scar stories,"16,000",Garrett Hedman,"1,230",Garrett Hedman,"1,220","70,700",20,"863,000","31,400"
what makes you special childrens book by britt hal,75,Britt Hallowell,"123,000",Brittney Hallowell,"5,470","125,000","72,000","2,550,000","1,590"
ditko now and then,10,Robin Snyder,"56,500",Robin Snyder,"168,000","56,500","1,890","199,000","2,180"
the patchwork circus a childrens picture book,120,Diana Teeter,"1,850",Diana Teeter,"1,840","1,860",1,"75,900",184
don quixote playing cards vol2,396,Cellar Window,"86,600",Iara C Diaz,120,"86,100",1,"75,600","1,450"
remember the alamo drafthouse kalamazoo,302,Ian Geiman,675,Ian Geiman,673,840,1,914,0
you are the hero part 2,"42,100",Jonathan Green,"401,000",Jonathan David Green,"3,290","407,000",2,"26,800,000","37,100,000"
all walls must fall a tech noir tactics game,"10,200",inbetweengames,"95,300",Isaac Ashdown,"1,390","184,000",6,"508,000",8
moondrop fidget desk toy displaying gravity on the,"41,800",Kristoph Krisjans,"1,870",Toms Liepkalns,"5,680","5,500",123,"2,000",432
valthirian arc red covenant academy for heroes,221,Agate Studio,"79,400",Andre Shidarta,178,"75,800",1,52,0
indigenous knowledge and the box of treasures,5,Dos Polacas,"8,660",Sharon Grainger,"2,920","8,900","65,400","87,500",879
dragoon the rogue and barbarian expansion reprint,147,Lay Waste Games LLC,"2,030",Jonathan Ritter Roderick,"1,350","2,040",3,"301,000",5
yoga flexer the only yoga mat turned into a portab,142,Anthony Kokakis,"1,290",Anthony Kokakis,"1,290","1,360","1,740","37,100",67
candles made better keaps new collection,5,Keap,"457,000",Stephen John Andrew Tracy,4,"451,000",1,"1,800,000","25,800"
badass riders,"17,000",Koti Games,"9,770",Ruben Segura Mayor,303,"25,000",10,"748,000",946
hidden time watch,"30,100",Anicorn Watches,"26,600",Man Kit Chan,"6,530","50,500",105,"6,530,000","2,440,000"
the first interchangeable backpack for everyday es,244,NIID,"1,260,000",xiaomo Li,730,"1,260,000","124,000","719,000","13,400"
hinice the 1st wearable gem necklace and bluetooth,236,HiNICE.me,644,Chunqiu Wang,"3,890",684,1,57,202
lion duchy and black lotus fantasy football team,204,ATLAS MINIATURES,"24,600",Stefano Dimasi,432,"24,800",1,7,0
creeping flesh dan breretons monster girls trading,788,SideKick Lab,"1,190",Tom Lichtman,519,"1,240",1,219,1
patience 1,"220,000",Greg Stolze,"40,500",Greg Stolze,"40,400","259,000",365,"1,570,000","318,000"
the historical heroines coloring book women in sci,87,Elizabeth Lorayne,"2,530",Laura Lorayne,60,"2,580","90,300","261,000",33
enduro toy cars built for tough drivers,424,ThoughtFull Toys,"112,000",David Silverglate,"2,730","114,000",2,"274,000",510
00 cyborgs,"49,200",Leonardo Corbucci,"50,600",Leonardo Corbucci,"50,400","96,300",53,"2,360,000","1,160"
reckless deck solving the problem of what should i,214,Clark Huggins,"20,900",Jeffrey Huggins,"3,950","20,900","6,190","34,200",124
worlds thinnest denim watch garibaldi,10,Shane McDonnell,"24,500",Shane Mc Donnell,"2,790","24,000","1,360","2,450",50
grant featherston book australian mid century desi,9,Geoff Isaac,"2,630",Geoffrey Keith Isaac,1,"2,540",46,"3,540",0
story the levitating timepiece,"10,100",Flyte,"3,200,000",Simon Morris,"207,000","3,210,000",2,"147,000",19
the shadow watchers 1,91,Robert Alvord,"3,510",Robert Alvord,"3,510","3,560","230,000","9,050,000","2,130"
portraits an artbook of inspirational progressives,151,Dave Wachter,"51,300",David Wachter,"35,000","51,100","118,000","1,050,000","5,880"
feel a little little poems about big feelings,256,"Evie Kemp, A Little Ink & Little Love","2,760,000",Sophia Emma Louise Egan Reid,3,200,"760,000","1,960,000","9,970"
pixelvar smartphone controlled handheld light pain,8,Pixelvar,"1,350",Siu Kwan Christy Wu,"200,000","1,310",5,43,0
littlearm big a robot arm for makers and education,104,Slant Robotics,"1,450",Gabriel Bentz,746,"1,490",1,265,88
color quest season 1,384,FLUO Craft,"7,580",Fabien Gregory Bernard Friess,"411,000","8,000","646,000","29,600,000","6,440,000"
hardlight vr suit dont just play the game feel it,182,Morgan Sinko (NullSpace VR),"1,120",Morgan Sinko,"1,230",516,2,"3,860",3
necronomicards vol 2 lovecraftian card game expans,162,Andy Hunt,"159,000",John Andrew Hunt,"1,440","158,000",2,27,0
blacksmith miniatures world of jean baptiste monge,291,BLACKSMITH MINIATURES,"47,700",Mylene Ines Abobi,"11,000","48,100",4,328,0
powers of the earth sf with spaceships dogs and bi,96,Travis J I Corcoran,799,Travis Corcoran,"2,320",806,"1,270","1,470,000",29
the iron crows and other dwarves of kazhuk izril,224,Durgin Paint Forge,"13,200",Matteo Donzelli,"14,200","13,300",6,289,0
roch team unaq,615,ROCH TEAM UNAQ,960,Abril Rodriguez Del Muro,45,952,1,"7,780","8,720"
common ground a frontier fantasy story,270,Ryan Pancoast,"104,000",Ryan Pancoast,"104,000","105,000",5,"595,000",301
spook o tron a halloween themed homebrew game for,74,E.B.D. Holland,229,Ernest Holland,"28,700",533,3,"54,700",4
battle princess madelyn,"16,300",Causal Bit Games,"55,400",Christopher Obritsch,703,"127,000",520,"157,000",97
mokuru the amazing desk toy that you can take anyw,"2,470",MOKURU,"1,650,000",Yuk Wing Benny Kwok,"264,000","1,630,000",5,"19,900",260
the worlds first nanofiber boxer brief manhattan b,21,Nikhil Thakar,833,Nikhil Thakar,"2,800",850,6,"41,000",0
meanders 2 new terrain maps for rpg,161,Kris McDermott,"4,290",Kristofer J Mcdermott,4,"4,190",1,"181,000",1
tiki,"25,800,000",Florian Ôz Editions,1,Florian Corroyer,"1,190","1,170,000","211,000","543,000","67,700"
sweets candies and confections,"11,600",Jeremy Curcio,"3,540",Jeremy Curcio,"3,520","3,430","116,000","407,000","9,520"
wild zora meat and veggie paleo snack bars new fla,63,Wild Zora Foods,"31,700",Joshua Tabin,878,"32,000",1,"7,410",18
stop thief the classic 1979 board game restored,209,Restoration Games,"88,700",Justin Jacobson,"42,000","79,500",2,"22,100",24
the waypoint,"285,000",Ben Haskett,"2,230",Benjamin Haskett,328,"382,000","1,240","752,000","12,300"
esper genesis heroic sci fi role playing for 5e,280,Brian Dalrymple,"29,600",Eric Wiener,"53,000","30,000",4,94,0
not twins new ep the view from down here,89,Not Twins,"381,000",Shiranne Radzinski,764,"399,000",1,"1,220,000","112,000"
last bottle clothing closed loop sustainable appar,80,Justin Koehn,"3,300",Justin Koehn,"3,330","3,350",1,"186,000","1,260"
on the off chance debut album on vinyl,41,Dan Dougherty,"263,000",Dan Dougherty,"263,000","58,200",1,"462,000","51,900"
go backpack the best companion to help you catch e,537,Louis Tsai,"38,200",Hsuan Te Tsai,"146,000","38,400",2,"3,890,000","2,000"
billionaire banshees first expansion,223,Steven Bailey,"212,000",Steven Bailey,"211,000","212,000",2,"2,330,000",19
lorica clothing leggings inspired by armor,92,Elena Hutchinson,"2,620",Elena Hutchinson,"2,580","2,610",61,"5,470",28
noir world,"66,300",John Adamus,"17,500",John Adamus,"17,300","81,200",329,"1,610,000","71,100"
arcanis 5e rpg,209,Henry Lopez,"185,000",Enrique Lopez,"403,000","184,000",2,9,2
the most rebellious swiss automatic watch ever liv,327,LIV   Swiss Watches,"35,100",Sholom Chazanow,"1,620","35,600",7,"578,000","3,010"
